temp,humidity,door,co
6.13,80,1,283
6.69,84,1,249
6.62,83,1,183
6.68,74,1,226
7.61,76,0,212
6.27,73,0,286
6.66,70,1,293
6.51,71,0,248
5.67,80,1,269
5.5,79,0,168
5.87,70,1,280
5.11,77,0,294
6.71,72,1,294
7.56,73,1,212
7.29,82,1,280
5.05,70,1,200
7.58,83,0,181
5.68,84,0,292
7.44,71,0,281
6.3,79,1,189
7.95,81,0,203
6.64,85,0,289
5.82,79,0,150
6.53,84,1,296
5.51,82,0,211
7.24,75,1,273
5.93,85,0,151
6.93,72,0,190
5.04,74,0,190
7.46,75,0,238
7.08,78,1,209
5.03,76,1,261
5.76,70,0,275
6.53,72,1,282
6.74,80,1,177
5.05,85,0,219
6.64,82,1,167
6.04,79,1,275
5.31,76,0,250
5.14,80,1,275
6.73,83,0,170
7.37,80,0,164
7.61,79,0,214
5.99,78,1,254
7.68,80,0,244
6.17,77,1,215
6.1,78,1,168
6.62,71,0,211
7.87,70,0,242
6.65,79,1,266
6.88,70,1,271
6.61,73,0,187
6.69,79,1,175
6.59,76,0,285
5.11,78,0,192
7.78,77,1,158
5.15,79,1,226
7.59,84,0,160
6.71,78,0,224
6.11,77,0,290
7.0,70,1,219
6.56,83,0,275
6.97,83,1,214
7.96,71,1,225
7.88,76,0,214
5.74,72,0,234
7.3,70,1,263
5.15,70,0,161
5.43,82,1,274
6.22,85,1,198
7.61,70,0,271
5.87,74,1,191
6.92,72,1,263
7.58,80,1,171
5.65,82,0,254
6.14,70,1,209
6.9,70,1,261
5.72,84,1,295
5.59,78,0,272
7.05,72,0,300
6.38,77,1,286
7.52,80,0,253
6.73,75,1,290
5.16,77,0,279
5.98,77,1,279
6.45,84,1,206
5.15,81,0,270
6.76,78,0,252
5.06,71,0,160
7.08,82,0,223
6.95,73,1,181
7.18,70,0,216
7.63,76,1,200
6.95,77,1,254
7.32,70,1,295
7.63,79,1,290
5.94,77,0,154
6.84,79,0,298
5.28,84,0,243
5.56,74,1,196
7.56,75,1,258
7.63,70,0,151
5.7,75,1,162
7.02,72,0,162
7.39,85,1,284
7.17,74,0,289
6.75,76,0,294
5.25,82,1,153
7.39,80,0,181
5.77,83,0,212
5.06,78,1,278
6.15,75,1,254
5.9,78,0,182
7.78,83,0,279
6.29,75,1,206
6.34,75,1,226
6.48,85,0,204
7.33,71,1,297
5.32,75,0,296
6.86,80,0,266
6.27,73,0,189
6.57,82,0,232
7.53,81,0,249
7.52,80,1,177
7.61,75,1,175
6.7,83,1,151
6.67,82,0,238
5.75,77,1,192
5.74,74,1,270
5.76,74,1,185
7.78,76,1,256
5.99,81,1,291
5.62,84,0,253
5.75,71,1,255
5.35,79,0,269
6.68,79,1,180
6.14,82,1,267
5.96,75,1,284
6.93,75,0,294
6.43,82,1,276
5.15,71,1,182
5.64,75,1,236
6.03,84,1,159
7.2,74,1,181
7.41,83,0,158
5.75,82,0,249
7.87,70,1,174
7.75,72,1,296
5.1,71,0,278
6.39,74,1,188
6.23,70,0,220
6.93,80,1,223
7.82,82,0,162
6.5,85,1,252
5.2,74,0,223
7.96,76,1,155
6.98,72,1,244
7.18,79,0,230
6.88,71,0,291
5.5,77,1,251
7.87,77,0,248
5.44,79,1,169
6.45,72,1,165
5.38,79,0,219
6.23,80,1,240
5.96,76,1,266
5.28,74,1,247
5.98,84,0,268
6.83,73,1,245
6.13,78,0,295
6.1,76,1,153
5.03,79,1,193
6.01,85,1,152
7.61,73,0,260
6.98,76,1,169
6.74,85,1,193
7.11,79,0,296
5.11,73,1,273
6.42,74,0,281
7.65,85,1,155
5.81,80,0,254
5.34,82,1,272
5.6,84,1,215
7.29,83,1,256
7.17,72,1,262
7.91,71,0,157
6.82,78,1,151
5.24,77,1,168
7.08,73,0,182
6.96,80,0,159
6.46,70,1,241
6.67,70,0,237
6.58,81,1,244
6.85,70,1,256
7.59,85,0,203
5.11,81,0,277
7.85,70,0,297
6.39,85,1,199
7.77,82,0,212
7.46,84,0,207
5.82,82,1,293
7.24,70,0,173
7.72,78,0,247
7.7,83,0,171
6.18,77,0,215
5.78,76,0,181
6.19,82,0,273
7.91,80,1,269
6.85,77,1,254
5.5,83,0,215
5.36,80,1,226
6.54,78,1,162
5.97,83,1,268
7.19,73,1,201
5.31,76,1,268
6.88,70,0,190
7.5,74,1,211
6.49,72,1,264
5.16,79,0,191
7.28,84,1,193
7.78,75,0,268
7.77,72,1,195
5.67,73,0,279
7.8,78,0,174
7.87,74,1,225
6.55,75,1,166
5.51,74,0,215
5.85,83,1,252
5.09,82,1,202
5.82,74,0,273
5.76,84,1,238
6.48,82,0,206
5.53,81,0,244
5.63,73,0,238
7.26,81,0,156
5.99,82,0,195
7.17,73,0,285
6.67,83,0,232
5.65,75,1,185
7.66,81,0,190
7.61,70,1,223
5.22,85,1,184
5.75,83,1,180
5.55,76,1,179
5.33,77,0,264
6.13,70,0,187
5.74,78,0,155
6.75,73,0,195
6.62,84,0,263
6.03,77,1,206
6.48,76,0,274
6.99,71,0,208
5.5,72,0,271
5.33,84,0,194
6.32,76,0,190
5.73,72,1,237
6.37,73,1,269
5.36,81,1,219
7.7,72,0,204
7.77,79,0,205
5.31,84,1,208
6.71,75,1,201
5.61,81,0,243
7.96,78,0,210
7.82,81,0,279
6.75,84,1,275
6.34,77,1,243
7.3,73,1,266
5.13,75,1,171
6.1,76,0,190
6.3,83,1,267
5.01,76,0,151
7.96,85,1,209
6.39,75,0,278
5.57,85,0,222
7.27,85,1,280
5.89,73,1,219
7.57,79,0,227
5.05,84,1,275
5.28,76,0,290
6.93,84,0,179
5.5,76,1,250
6.88,72,0,233
5.56,70,0,234
6.42,83,0,208
7.67,80,0,165
6.36,85,1,265
6.2,72,1,297
5.56,71,1,237
